genes	logFC.time1h.treatTg	logFC.time2h.treatTg	logFC.time6h.treatTg	logFC.time24h.treatTg	logCPM	F	PValue	FDR
Slc6a4	1.3270543606157	3.6484630848707	2.41326389665396	1.60591855782208	-0.0612457139848991	0.985831949460225	0.423809099483655	0.769275806829663
Kcnk6	0.863463848924156	0.754537142124524	0.917489590734591	1.38066595138163	1.3437972595599	0.994683109757866	0.423839216136528	0.769275806829663
Aym1	6.65098133328133	6.14259309683663	3.51124438603149	0.107336992900519	-2.71515051014926	0.99635148567277	0.423928396023157	0.769331589469518
Fbxl18	0.229226872220455	0.0558109148549563	-0.14440355729681	0.299552648271553	3.95272502983377	0.99409741933778	0.423942617640991	0.769331589469518
Ttll8	3.17385207963576	2.25061916358324	8.09080581237849	1.50816486442069	-0.250158613192381	0.987452377941158	0.424009401673614	0.769386843006008
1700120G07Rik	5.52109013572538	-0.566462762143995	4.84546735570795	-2.38400734476847	-2.60974610445556	0.995511139039552	0.424208600243409	0.769682339464777
Rnf222	3.64390568856981	3.6181968058094	7.4784883260313	1.20092839466143	-0.846882275321893	0.98566928378188	0.424265592619855	0.769719789061161
Pdgfd	1.48696853943002	2.7075807389886	0.464593077692735	-1.53195499602495	-1.63041227746859	0.983257835614521	0.424409265446139	0.769863776632511
Iigp1	0.29141541113335	0.730564530512433	-0.204510036446971	-1.14504004849607	-0.0689730592267461	0.989946120363315	0.424417675669751	0.769863776632511
Csrp2	0.255720216858492	0.709322922841416	0.0727188875009672	-0.446737350781786	2.00946368248027	0.993041856555058	0.424556914534847	0.770017256253377
1810044D09Rik	-0.1914314784725	-0.769586961342875	-0.154595051752109	0.305779237967965	1.3071361052335	0.993122255100973	0.424575019682544	0.770017256253377
Serpina3h	1.86568346227835	6.31230084659961	7.39025346764228	3.11027284835485	-1.59771920551551	0.989861907538221	0.424648375107834	0.770084334920629
Slc26a8	-0.198849873273936	0.21299777785701	0.459431541406523	0.5827516363827	2.20777634628929	0.992312551544949	0.424908781593704	0.770449656465453
Timp3	2.47600458698842	2.60574137493105	3.71543716549583	2.73226415533653	-0.343747589100932	0.982778437528506	0.424922597912702	0.770449656465453
