"gene"	"DMSO_0h"	"DMSO_1h"	"DMSO_24h"	"DMSO_2h"	"DMSO_6h"	"SW_0h"	"SW_1h"	"SW_24h"	"SW_2h"	"SW_6h"
"Tsc22d1"	7.75583991359987	7.79222129261196	7.83567490340364	7.67604008854281	7.80820636771767	7.75583991359987	7.7535030466134	7.77426399925623	7.93588286230671	7.53958248733704
"Tsc22d2"	7.29910394635832	7.33354686527214	7.30637526992377	7.29990950980184	7.28656835929864	7.29910394635832	7.33877353223458	7.15926546141518	7.54149966790305	7.4533751612581
"Tsc22d3"	4.46802349710286	4.44314196822758	4.38331093733971	4.2192454226417	4.22349814165634	4.46802349710286	4.01060734732098	4.71708737255499	4.68648184404654	4.45809102956965
"Tsc22d4"	4.51265511140344	4.68104671439102	4.69911933202659	4.69526800044235	4.67970906240151	4.51265511140344	4.77974638151402	4.88449980355845	4.53980916087352	4.46917826203914
"Tsen15"	3.84632449472901	4.00295847841496	3.96299768965957	3.8378052867459	4.05173203987238	3.84632449472901	3.59839725051892	4.04040907427288	3.68000900185387	3.9216632507696
"Tsen2"	2.78311201560639	2.84167134621494	2.88000032058681	2.90503540921043	2.82584699901536	2.78311201560639	3.29523865580526	3.1088731238736	2.79971829315014	2.90970464157121
"Tsen34"	5.84683615771776	5.84963314618949	5.93906960053274	5.61406136022258	5.78127947640618	5.84683615771776	5.6252597621089	6.0022901272848	5.79707742845992	5.62567591931117
"Tsen54"	3.14754080172187	3.15918348604216	3.22506904121902	2.8777982502705	3.14236918394907	3.14754080172187	2.90054918654254	3.29424663401964	3.15677237808206	3.30062215603876
"Tsfm"	3.59922119395993	3.64907631547796	3.74414716208212	3.31476597074199	3.60827384597655	3.59922119395993	3.58599146483196	3.81402738606274	3.67982320255651	4.00156989985837
"Tsg101"	6.72953060870597	6.71987376532307	6.85966542367039	6.74561179314051	6.78226140236958	6.72953060870597	6.53335110989798	6.92575715582581	6.77376434523731	6.79556839614908
"Tsga10"	1.41875227179743	1.71286264188273	1.37413541107607	1.98810880506418	1.54446504039504	1.41875227179743	1.79273757395181	1.46814130137454	1.65487231420823	1.70760427148349
"Tsga13"	-3.62460112185788	-4.01811815273666	-3.84849606818021	-3.13689344916465	-4.01811815273666	-3.62460112185788	-2.98814383140915	-3.58957997391527	-2.15706595591942	-3.82932682313041
"Tshr"	0.797885967422142	0.439771085745785	0.376576234723443	0.559436239101379	-0.0911640413339877	0.797885967422142	1.31486678514569	0.350036456580897	0.249985702167671	0.0245761561397138
"Tshz1"	8.84570046613637	8.85002484798788	8.94243723912513	8.81394286024743	8.9033576802399	8.84570046613637	8.84857677557265	8.69464581803132	8.93594505446931	8.73291703565048
"Tshz2"	3.27036960144392	3.23831015430411	3.13618280047135	3.19574991356832	2.92761771944472	3.27036960144392	3.30174159040547	2.59531274297643	3.05253553883526	2.33360097252872
"Tshz3"	7.23461126207882	7.26716477729818	7.33444552421136	7.21167958279978	7.28554692836205	7.23461126207882	7.17018096150697	7.26974435503902	7.22201401638978	7.0946212805973
"Tsix"	-2.26900379002702	-2.08391274528391	-1.95770645384199	0.0907808664215956	-1.49148728609058	-2.26900379002702	-0.143468090573873	-1.23244593026828	-1.20000144193975	-2.68809658663006
"Tsks"	-2.45383897553445	-3.01969880964614	-2.7185047144775	-2.87191979265025	-3.24645598746646	-2.45383897553445	0.200192090204803	-2.30643500287238	-0.448046515369798	-1.56285095391951
"Tsku"	3.4802491129349	3.26675601699668	3.44374319468419	3.57127361563883	3.23932639725577	3.4802491129349	3.20587799925299	3.83769364816872	2.74117976566319	3.25901284348933
"Tslp"	-2.41416630719772	-1.66010926054168	-2.12407532875895	-3.08887909121252	-1.97269206759763	-2.41416630719772	-1.25919671603684	-1.15246665130861	-1.41774364039236	-2.12370403807528
"Tsn"	7.22499778378942	7.24553801080363	7.31759929170014	7.29551833314346	7.32519017027975	7.22499778378942	7.08857720635607	7.32259956180486	7.18190142404878	7.25785267417646
"Tsnax"	6.56443306670296	6.55601209327366	6.63228349913423	6.55312774737437	6.65461412431822	6.56443306670296	6.39402314529704	6.5891695138738	6.59400619718516	6.57087944680014
"Tsnaxip1"	-2.43521806394966	-3.18381060950342	-2.71466411828471	-2.70206331589176	-3.3691364037854	-2.43521806394966	-0.682293855759576	-2.49111771862277	-2.03374921450281	-2.31056361692345
"Tspan1"	-2.52552347697357	-2.94595800045322	-2.77487834476043	-3.08887909121252	-2.48768484558154	-2.52552347697357	-2.85422334612457	-1.23633838117866	-1.51283713183965	-1.63750578379539
"Tspan10"	-2.65495164996406	-4.01811815273666	-2.27646393373006	-3.04522643984297	-2.8168677136569	-2.65495164996406	-1.10931821805616	-3.00101651143935	-2.64126157722682	-2.40803224538121
"Tspan11"	-1.48635801142869	-1.56327203239383	-2.09802227962555	-2.42879298054243	-2.16671596266418	-1.48635801142869	1.43047070930556	-1.47549584602266	-0.15995322230806	-0.670062931720474
"Tspan12"	-2.83258510550283	-3.61868438513929	-4.01811815273666	-3.2502488564488	-3.56427450320932	-2.83258510550283	-1.67509200758386	-3.52343579558512	-1.69857936158011	-3.25210750479609
"Tspan13"	8.62912000602607	8.63393023554132	8.71525591720597	8.57911479800638	8.61008615561767	8.62912000602607	8.50478357486361	8.97327176021695	8.67368547212094	8.78380561389002
"Tspan14"	4.53681508890309	4.72217129662991	4.57370243314603	4.86546212193364	4.67568760154974	4.53681508890309	4.5704990191022	4.54557953519998	4.58486751385552	4.30287195455284
"Tspan15"	5.82277229375262	5.83270275176009	5.87907462081124	5.74826302489191	5.79259758674019	5.82277229375262	5.7499891020096	6.039673944529	5.93480271389369	6.0429969760477
"Tspan17"	3.83933925542009	3.57875093505834	3.63731206998079	3.39019184905246	3.82111038766364	3.83933925542009	3.81651020883096	4.11664690214703	3.31470296761846	3.2768655312477
"Tspan18"	0.482378469983962	0.170053337005773	0.622948197587381	-0.830462256022027	0.391956557833705	0.482378469983962	1.17368077057995	0.470947271615832	0.766657102216233	0.31174896194448
"Tspan2"	6.17247423411991	6.20776556575295	6.27919923793575	6.14995063652043	6.10118434916306	6.17247423411991	6.16640921218919	6.34772844595182	6.16534194409115	6.36859731770324
"Tspan2os"	1.60166968267975	1.67876680816022	1.49252197430308	-0.391433149827172	1.53976769403216	1.60166968267975	2.1932380128605	1.46462383459442	1.88755053273708	1.89353086563193
"Tspan3"	7.89205525192314	7.90479597095715	8.02756588226374	7.78547903050431	7.90099716567648	7.89205525192314	7.61122804273792	7.92501804705738	7.78594528635074	7.67887320600701
"Tspan31"	6.78186061419258	6.80939118489005	6.94227429538173	6.75857382737338	6.76886853217566	6.78186061419258	6.67354130395994	7.3035517539549	6.84487381705027	6.98644307286374
"Tspan32"	-2.64211725183337	-3.29621459050311	-4.01811815273666	-2.60938248265776	-3.02951195678098	-2.64211725183337	-0.67946553464205	-2.84521414754122	-2.29497002364968	-2.48208312511543
"Tspan33"	2.16505947924622	2.1611044230717	2.2894699225647	1.97775745498917	2.40360276101437	2.16505947924622	2.46951908090249	2.74689570664237	2.23173447484086	2.36259042345613
"Tspan4"	2.87325906000252	3.1437238346843	2.92702836303276	2.54960833044503	2.95027170559608	2.87325906000252	2.49120618969039	3.31209844899991	2.79965710616012	2.68607590968635
"Tspan5"	7.87167326125702	7.91160879774925	7.9234182298754	7.70775188821426	7.86181566936441	7.87167326125702	7.76973196728219	7.81640057697988	7.94769477435729	7.5612246616227
"Tspan6"	4.63149402453073	4.5869380084942	4.69732784582074	4.5245488400673	4.70709615896155	4.63149402453073	4.46474262314065	4.91768973291182	4.53862481075502	4.5308504686348
"Tspan7"	9.81623341885058	9.81202507837088	9.9209238901608	9.75410773746234	9.82460156563981	9.81623341885058	9.70961779119189	9.73339557345091	9.86260657702495	9.85942400987974
